PC4,OBJECTID,Aantal_adr,Aantal_mul,SHAPE_Leng,SHAPE_Area,GM_NAAM,A_VAC,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,WON_1524,WON_MRGEZ,P_KOOPWON,P_HUURWON,WON_HCORP,WON_NBEW,WOZWONING,UITKMINAOW,OAD,STED,ZORGINSTELLING,INW_ZORG,P_VAC,P_ZORG,P_65PL,P_4564,P_2544,P_1524,P_VROUW,P_UITKMINAOW,pred,diffLM,diffLM_inv,Id,pc4_z,pc4_bins
4251,1401,5267,1,0.795109836042763,0.008388959349819,Altena,2270,11295,5645,5645,2235,1540,2535,2885,2105,90,0,0,4265,1200,1280,220,1550,2.6,4340,630,715,735,750,590,525,320,80,625,60,40,1265,140,254,505,924,4,0,0,20.0973882248783,0,18.6365648517043,25.5422753430722,22.4435590969456,13.6343514829571,49.9778663125277,4.47100486941124,24.0469870511726,3.95,-3.95,1,1.26560497375408,6
4254,1402,2759,1,0.177596025728804,0.001266065064949,Altena,1700,5750,2865,2885,960,655,1245,1600,1290,90,0,0,2340,615,815,110,795,2.4,2360,240,340,480,350,310,265,200,175,265,80,20,465,50,286,255,619,4,1,30,29.5652173913044,0.521739130434783,22.4347826086957,27.8260869565217,21.6521739130435,11.3913043478261,50.1739130434783,4.43478260869565,27.7099579132303,-1.86,1.86,2,-0.682067808683144,3
4255,1403,1759,1,0.226405906931332,0.001396583052862,Altena,1099,3670,1865,1805,580,395,890,1075,725,90,0,0,1560,450,515,80,510,2.3,1595,315,270,250,260,155,135,105,105,130,60,40,525,30,251,185,383,5,0,0,29.9455040871935,0,19.7547683923706,29.291553133515,24.2506811989101,10.7629427792916,49.1825613079019,5.04087193460491,26.265402887996,-3.68,3.68,3,-1.29218217426589,3
4261,1404,2881,1,0.305729400038969,0.002328663732698,Altena,1177,6545,3290,3260,1250,905,1460,1740,1190,90,10,0,2430,645,720,135,920,2.6,2480,325,345,280,385,265,330,440,115,460,70,30,505,130,280,285,577,4,0,0,17.9831932773109,0,18.1818181818182,26.585179526356,22.3071046600458,13.8273491214668,49.8090145148969,4.35446906035141,23.878518833033,5.9,-5.9,4,1.91929893687845,7
4264,1405,1471,1,0.102368166490255,0.000404380744299,Altena,420,2915,1525,1390,590,375,800,720,435,90,10,0,1160,365,310,60,425,2.5,1140,145,140,150,110,140,190,175,90,135,70,30,215,105,272,135,345,5,1,55,14.4082332761578,1.88679245283019,14.9228130360206,24.6998284734134,27.4442538593482,12.8644939965695,47.6843910806175,4.63121783876501,21.3417739371472,6.93,-6.93,5,2.26458344047747,8
4265,1406,737,1,0.174671778928006,0.000611025804468,Altena,433,1725,880,845,290,225,380,510,320,100,0,0,675,170,205,35,260,2.5,670,80,155,135,80,85,40,85,,50,80,20,100,15,277,75,199,5,1,125,25.1014492753623,7.2463768115942,18.5507246376812,29.5652173913044,22.0289855072464,13.0434782608696,48.9855072463768,4.34782608695652,24.9395114451379,-0.16,0.16,6,-0.112180763908053,4
4266,1407,416,1,0.158461242960121,0.000778583828604,Altena,205,835,425,410,130,95,205,245,155,90,0,0,350,90,130,20,115,2.4,355,25,75,75,45,30,25,70,15,10,70,30,60,10,272,45,115,5,0,0,24.5508982035928,0,18.562874251497,29.3413173652695,24.5508982035928,11.377245508982,49.1017964071856,5.38922155688623,25.2640605557851,0.71,-0.71,7,0.179467311947434,5
4267,1408,186,1,0.169064012001112,0.000841705872584,Altena,111,410,215,195,65,40,75,160,75,90,10,,165,40,60,5,60,2.5,165,15,75,10,20,10,15,10,5,,90,10,15,5,342,15,42,5,0,0,27.0731707317073,0,18.2926829268293,39.0243902439024,18.2926829268293,9.75609756097561,47.5609756097561,3.65853658536585,28.3057513897154,1.23,-1.23,8,0.353785702113933,5
4268,1409,307,1,0.141128575188888,0.000615694653328,Altena,160,710,370,340,115,90,145,225,140,100,0,0,275,60,110,10,95,2.6,285,25,85,80,30,25,20,10,,10,80,20,40,10,263,30,89,5,0,0,22.5352112676056,0,19.7183098591549,31.6901408450704,20.4225352112676,12.6760563380282,47.887323943662,4.22535211267606,26.3524723799419,3.82,-3.82,9,1.22202537621245,6
4269,1410,175,1,0.222116802822835,0.001188603520644,Altena,115,415,210,205,75,50,85,120,85,100,0,,155,30,60,5,60,2.7,160,60,35,10,20,10,5,15,5,,90,10,5,10,345,10,32,5,0,0,27.710843373494,0,20.4819277108434,28.9156626506024,20.4819277108434,12.0481927710843,49.3975903614458,2.40963855421687,26.6452693698912,-1.07,1.07,10,-0.417237946699426,4
4271,1411,1217,1,0.269707747556246,0.00187969691273,Altena,760,2470,1250,1220,390,255,560,705,560,90,0,0,1035,280,370,50,330,2.4,1045,185,185,200,205,80,70,95,30,70,70,30,240,40,279,140,246,5,1,45,30.7692307692308,1.82186234817814,22.6720647773279,28.5425101214575,22.6720647773279,10.3238866396761,49.3927125506073,5.66801619433198,28.2744489804954,-2.49,2.49,11,-0.893261242923325,3
4273,1412,2220,1,0.360804404787903,0.003180067126813,Altena,1361,4305,2190,2115,630,480,885,1390,920,90,10,0,1840,475,700,130,520,2.3,1645,195,250,320,310,230,175,85,70,155,70,30,415,60,259,270,376,5,0,0,31.6144018583043,0,21.3704994192799,32.288037166086,20.5574912891986,11.1498257839721,49.1289198606272,6.27177700348432,28.0586765220025,-3.56,3.56,12,-1.25195485345824,3
