"address";"lon";"lat"
"Eindhoven , inatie zorgverleners";5,4697225;51,441642
"Huizen , Amersfoortsestraatweg 180";5,1873489;52,2770851
"Veghel , De Amert 605";5,5102078;51,6250495
"Uden , Prior van Milstraat 14,16";5,6199576;51,6568646
"Eindhoven , Theo Koomenlaan 1";5,4812379;51,4126984
"Venlo , Garnizoenweg 3";6,1603715;51,3719777
"Den Bosch , Brabanthallen , Diezekade 2";5,2886824;51,7001647
"XL Helmond , Haverdijk 11";5,7126026;51,4469712
"Weert , Werthaboulevard 1";5,7030113;51,2569936
"Roermond , Boven de Wolfskuil 12";5,9606525;51,1631133
"Boxtel , De Braken 1a";5,3068642;51,592478
"Maastricht , MECC P4 , Gaetano Martinolaan";5,7121196;50,8387222
"Eindhoven , Theo Koomenlaan 1";5,4812379;51,4126984
"Zwolle , IJsselhallen , Rieteweg 4";6,080648;52,51134
"Arnhem , Molenbeke , Vosdijk 32a";5,930017;51,9854203
"Wijchen , Havenweg 4";5,7577736;51,8104173
"Breda , Langendijk 75";4,762828;51,5744618
"Rotterdam , Airport P3 , Airportplein 60";4,4315602;51,9488546
"Houten , Meidoornkade 24";5,1418119;52,0382716
"Geleen , Herenhof , Herenhof 1";5,8298144;50,9714911
"Dordrecht , Deetos , Vorrinklaan 202";4,6684335;51,7888868
"Amsterdam , RAI Auditorium , Europaplein 24";4,888265;52,3413201
"Apeldoorn , Mheenpark , Zilverschoon 112";5,9894443;52,2238889
"Den Haag , Haags Kwartier 55";4,3827242;52,0629279
"Bergen op Zoom , Wattweg 13";4,3003525;51,5010003
"Helmond , Wethouder Ebbenlaan 30";5,6750923;51,485866
"Assen , TT Circuit , De Haar 11";6,522342;52,9583015
"Tilburg , Willem 2 Stadion , Goirlese Weg 34";5,0645844;51,5424191
"Berghem , Osseweg 38,A";5,5593355;51,7696922
"Groot Ammers , De Boomgaard 3";4,832646;51,9280734
"Venray , De Voorde 40";6,0108854;51,5245575
"Utrecht , Jaarbeurs P4 , Truus van Lierlaan 1";5,1011362;52,0821664
"Harderwijk , Dolfinarium , Strekdam 51";5,6152875;52,3561804
"Den Haag , Sportlaan 600";4,2641027;52,0810438
"Almere , Parkwerf 138";5,2213484;52,3384529
"Best Gesloten , zie Kennishub";5,1730569;52,235459
"Groningen , Leonard Springerlaan 2";6,5554077;53,2025797
"Doetinchem , Saza Topsporthal , Sportweg 1";6,2710981;51,9633522
"Gouda , Heuvellaan 1";4,6898445;52,0221696
"Goes , Zeelandhallen , Da Vinciplein 1";3,8738242;51,490932
"Culemborg , Bellweg 2";5,2006718;51,942043
"Waalwijk , Gompenstraat 37";5,0308782;51,6976868
"Gorinchem , Hoefslag 9a";4,9685468;51,8474641
"Arnhem , Papendallaan 3";5,8242446;52,0102327
"Breda , Bavelseparklaan 7";4,8258189;51,5813956
"XL Helmond  Haverdijk";5,6540745;51,4847675
"Mobiele unit LH Greenport";6,070633;51,4001798
"Alphen a/d Rijn , President Kennedylaan1";4,6693492;52,136976
"Middenmeer , Agriport 33";5,0390715;52,7547437
"Boxmeer , Koorstraat 1";5,9468108;51,6473831
"Terneuzen , Wielingenlaan 2";3,860112;51,3091852
"Badhoevedorp , Loevesteinse Randweg 110";4,7896362;52,3241145
"Lelystad , Schroefstaat 34C";5,4963529;52,5246721
"Alkmaar , Olympiaweg 26";4,7151903;52,6359097
"Leeuwarden , WTC , Heliconweg 52";5,7725625;53,2006875
"Almelo , Sporthal Schelfhorst , Stins 2";6,6766141;52,3792551
"Markelo , Stationsstraat 30";6,4973046;52,2306344
"Ede , De Reehorst , Bennekomseweg 24";5,6711302;52,0243644
"Schiedam , Groenoordstraat 1";4,3792748;51,9266694
"Capelle , Sporthal Schenkel , Capelseweg 39";4,5740806;51,9410505
"Malden , Hatertseweg 12A";5,8391387;51,7930445
"Terneuzen , Zeelandlaan 3";3,8505937;51,2964622
"Leiden , Haagse Schouwweg 10";4,4560165;52,163761
"'s,Gravenzande , Koningin Julianaweg 61";4,1708367;52,0022497
"Beverwijk , Ringvaartweg 2";4,6714224;52,480442
"Groningen , Kardingerplein 1";6,5963265;53,2391999
"Veenendaal , Schoolstraat 100";5,5580284;52,0309053
"Middelburg , Podium 23";3,6342232;51,4796562
"Oldenzaal , Ganzenmarkt 11";6,9306933;52,3119855
"VACC Kazerne Venlo vrije inloop";6,1724031;51,3703748
"Amsterdam , Inloop , Calandhal";4,8074562;52,3545533
"Rotterdam , Van Nellefabriek , Van Nelleweg 1";4,4334722;51,9232069
"Amersfoort , Piet MondriaanPLEIN 61";5,3668283;52,1552575
"Sneek , Akkerwinde 1";5,6635997;53,020863
"Heerenveen , Uhlweg 1";5,908619;52,9707035
"Test D Barneveld , Nieuwe Markt 8";5,5851491;52,1427643
"Barneveld , Midden Nederland Hallen";5,5652712;52,1487529
"Rotterdam, Maassilo, Maashaven Zuidzijde 1,2";4,4948526;51,8980672
"Amsterdam , Inloop , RAI";4,888265;52,3413201
"Zaltbommel , Hogeweg 65";5,2552368;51,7961091
"Middelharnis , Sommelsdijk , Olympiaweg 32";4,1571371;51,7504618
"Ijmuiden , Dokweg 43";4,5916836;52,4541394
"Breda , Langendijk 75";4,762828;51,5744618
"Enschede , Colosseum 72";6,8331957;52,2392655
"Hoorn , Westfriese Parkweg 5";5,0410491;52,6551215
"Dalfsen , De Trefkoele , Ruigedoornstraat 108";6,2529842;52,510788
"Kerkrade , Rodahal , Europaplein 1";6,0622208;50,8675967
"Zoetermeer , Silverdome , v.d.Hagenstraat 20";4,5202778;52,0527778
"Katendrecht , 3e Katendrechtse Hoofd 25";4,4732245;51,8981491
"Zierikzee , Grevelingenstraat 14";3,907192;51,6552656
"Drachten , Fries Congrescentrum , Oprijlaan 3";6,0512387;53,0900109
"Driebergen , Hoendersteeg 7";5,26298;52,0557899
"Woerden , oud Campina hfdkantoor , De Bleek 1";4,8879863;52,0784904
"Koudum , Gem. de Klink , D.L. Tinholtstraat 1";5,4531397;52,9156431
"Lichtenvoorde , vd Meer de Walcherenstraat 3";6,5719215;51,9864503
"Hardenberg , Evenementenhal , Energieweg 2";6,6274123;52,558731
"Amsterdam , Calandhal , Eliza van Calcarstr 2";4,8074562;52,3545533
"Emmen , Van Schaikweg 55";6,9025389;52,7803316
